experience_level,total_tasks_completed,missed_deadlines,average_task_duration,task_quality_score,performance_score,deadline_adherence,task_efficiency,completion_rate,productivity
1,70,13,3.0,51,54.76,40,0.73,0.8433734838147773,14.337349224851215
3,76,14,3.7,61,56.09,40,0.73,0.8444444350617285,13.9219217672339
2,56,13,4.2,71,55.48,40,0.68,0.8115941911363161,13.719806564447248
1,27,8,4.7,66,54.0,60,0.63,0.7714285493877557,10.832826438211038
1,26,11,4.8,56,47.3,45,0.54,0.7027026837107383,8.19819797662528
1,33,14,4.0,60,47.48,40,0.54,0.7021276446355821,10.531914669533732
1,75,8,4.5,53,59.53,60,0.82,0.9036144469444043,10.642570152900761
2,74,11,3.6,54,57.63,45,0.77,0.8705882250519033,13.058823375778548
1,22,14,3.7,55,44.67,40,0.5,0.611111094135803,9.084083831748423
2,69,10,3.4,60,59.92,50,0.78,0.8734177104630669,15.413253714054123
1,35,14,4.1,50,44.94,40,0.56,0.7142856997084551,8.71080121595677
3,74,13,3.6,74,60.65,40,0.74,0.8505747028669575,17.484035558931904
2,38,8,3.2,59,56.81,60,0.7,0.8260869385633275,15.23097792976135
1,70,10,4.4,69,60.74,50,0.78,0.8749999890625002,13.721590737571026
1,37,13,4.4,73,52.22,40,0.59,0.7399999852000003,12.277272481727277
1,71,11,3.7,70,61.25,45,0.76,0.8658536479773946,16.381014961734493
1,35,14,3.2,60,49.29,40,0.56,0.7142856997084551,13.392856869533533
1,27,13,3.9,73,51.32,40,0.51,0.6749999831250004,12.634615068750009
1,79,10,3.9,66,62.46,50,0.8,0.8876404394647142,15.021607437095163
1,52,8,4.3,57,56.81,60,0.76,0.8666666522222225,11.488371901550392
1,68,8,3.6,62,62.34,60,0.81,0.8947368303324101,15.409356522391509
1,31,14,4.4,69,48.84,40,0.53,0.6888888735802473,10.803030062962968
1,72,13,4.7,67,56.39,40,0.73,0.847058813564014,12.075093725274241
1,30,10,3.5,71,55.66,50,0.6,0.7499999812500006,15.214285333928583
1,24,9,5.0,65,51.44,55,0.57,0.7272727052341605,9.454545168044088
2,46,11,3.8,51,51.38,45,0.68,0.8070175297014469,10.831024740729946
1,31,11,3.5,54,50.02,45,0.58,0.7380952205215424,11.387754830903798
1,36,10,3.8,67,55.12,50,0.64,0.7826086786389418,13.798626702318185
1,25,9,3.2,52,51.35,55,0.58,0.7352940960207619,11.94852906033738
1,52,8,3.3,71,62.43,60,0.76,0.8666666522222225,18.646464335690244
1,24,14,3.8,66,47.84,40,0.5,0.6315789307479229,10.969528797200768
1,76,12,4.5,65,58.14,40,0.76,0.8636363538223142,12.474747332988983
1,47,12,4.8,55,49.62,40,0.66,0.7966101559896585,9.127824704048171
3,33,14,4.3,68,49.11,40,0.54,0.7021276446355821,11.103413915167344
3,24,10,3.2,56,51.04,50,0.55,0.7058823321799315,12.3529408131488
2,73,9,4.3,67,62.13,55,0.8,0.8902438915823916,13.871242031632613
1,75,9,4.3,63,61.4,55,0.81,0.8928571322278913,13.081395193106315
1,78,11,4.6,55,56.81,45,0.78,0.8764044845347811,10.478749271611514
1,52,8,4.7,57,56.09,60,0.76,0.8666666522222225,10.510638122695038
1,69,13,4.7,64,55.03,40,0.73,0.8414634043723975,11.458225080815625
1,67,9,3.8,64,61.13,55,0.79,0.8815789357686983,14.84764523399913
1,60,14,4.4,64,52.73,40,0.68,0.8108107998539081,11.793611634238664
1,38,13,3.5,65,51.86,40,0.59,0.7450980246059211,13.837534742681393
3,41,12,5.0,50,46.82,40,0.63,0.7735848910644361,7.7358489106443615
1,24,13,3.4,60,48.14,40,0.5,0.6486486311176046,11.4467405491342
1,78,8,3.0,74,68.5,60,0.83,0.9069767336398055,22.3720927631152
1,21,14,3.3,54,44.94,40,0.5,0.5999999828571434,9.818181537662348
1,49,8,4.6,54,54.91,60,0.75,0.8596491077254543,10.091533003733595
1,66,13,3.9,70,57.57,40,0.72,0.8354430273994554,14.995131261015867
1,58,10,3.9,55,55.66,50,0.74,0.8529411639273359,12.028657440000892
3,23,9,4.9,51,47.63,55,0.56,0.7187499775390632,7.480867113161678
2,52,14,4.8,55,48.11,40,0.65,0.7878787759412307,9.02777764099327
3,32,10,3.6,63,53.67,50,0.62,0.7619047437641728,13.333333015873025
2,39,13,3.4,60,50.86,40,0.6,0.7499999855769234,13.235293863122177
1,73,9,4.7,53,57.6,55,0.8,0.8902438915823916,10.038920479546118
3,26,11,4.8,73,51.92,45,0.54,0.7027026837107383,10.686936648100811
1,34,10,4.1,74,56.12,50,0.63,0.7727272551652897,13.946784605422303
1,42,10,4.3,58,52.86,50,0.68,0.8076922921597637,10.894454173317742
1,33,13,3.5,73,53.13,40,0.56,0.7173912887523634,14.962732593977863
1,42,12,4.6,52,48.27,40,0.64,0.7777777633744859,8.792270368581146
1,38,13,4.3,65,50.41,40,0.59,0.7450980246059211,11.263109674275553
1,73,10,4.0,60,59.56,50,0.78,0.8795180616925535,13.192770925388302
2,48,9,3.1,53,55.97,55,0.73,0.8421052483841185,14.39728327882525
1,75,12,4.8,50,53.34,40,0.76,0.8620689556084028,8.979884954254196
1,39,13,4.2,74,53.22,40,0.6,0.7499999855769234,13.21428546016484
1,48,14,3.4,70,54.0,40,0.63,0.7741935359001043,15.939278680296265
1,43,13,4.2,71,53.13,40,0.62,0.7678571291454085,12.980441945077144
2,37,10,4.4,65,53.67,50,0.65,0.7872340258035314,11.629593563006713
1,29,10,4.1,68,53.58,50,0.59,0.7435897245233405,12.33270762624077
3,60,11,4.4,65,56.63,45,0.73,0.8450704106328112,12.483994702530165
2,76,13,4.2,60,56.12,40,0.75,0.8539325746749149,12.199036781070212
1,27,10,4.9,57,48.78,50,0.57,0.7297297100073051,8.488692544982937
1,45,14,3.1,72,54.55,40,0.62,0.7627118514794602,17.71459784081327
2,48,8,3.2,50,56.18,60,0.75,0.8571428418367351,13.392856903698984
2,29,12,3.3,70,53.16,40,0.55,0.7073170559190962,15.003695125556588
2,36,8,4.4,58,54.0,60,0.69,0.8181817995867773,10.7851237218257
2,21,12,4.3,61,47.45,40,0.5,0.6363636170798904,9.027483870203097
1,25,14,4.8,71,47.57,40,0.5,0.6410256245890866,9.481837363713574
1,77,13,4.5,57,54.94,40,0.75,0.8555555460493829,10.837036916625516
1,24,11,4.0,66,51.1,45,0.52,0.6857142661224496,11.314285391020418
2,47,10,5.0,59,52.77,50,0.7,0.8245613890427826,9.729824390704835
1,60,10,3.5,56,57.02,50,0.75,0.8571428448979594,13.714285518367351
1,24,10,4.7,68,51.59,50,0.55,0.7058823321799315,10.21276565707135
1,37,13,3.9,74,53.4,40,0.59,0.7399999852000003,14.041025360205134
1,45,12,4.3,55,50.17,40,0.65,0.7894736703601111,10.097919039489792
1,39,14,4.5,70,50.38,40,0.58,0.7358490427198294,11.44654066453068
2,60,10,4.3,73,60.19,50,0.75,0.8571428448979594,14.551494808732802
1,68,8,3.3,73,65.87,60,0.81,0.8947368303324101,19.792663216444225
2,46,10,3.9,68,57.02,50,0.7,0.8214285567602044,14.322344066588181
1,68,13,4.1,67,56.75,40,0.72,0.8395061624752326,13.718759240448923
1,31,14,4.7,64,46.94,40,0.53,0.6888888735802473,9.380614448752304
2,26,11,3.9,51,47.57,45,0.54,0.7027026837107383,9.189188940832732
2,78,14,4.8,63,55.0,40,0.74,0.8478260777410209,11.127717270350901
1,22,8,3.9,70,55.63,60,0.58,0.7333333088888897,13.16239272364674
2,29,10,4.1,59,51.13,50,0.59,0.7435897245233405,10.700437499238316
1,53,10,4.6,65,56.21,50,0.73,0.841269827916352,11.887508437948451
1,44,9,4.2,56,54.06,55,0.71,0.830188663581346,11.069182181084614
1,54,12,4.9,57,51.26,40,0.69,0.8181818057851242,9.517625087704506
1,35,8,4.3,59,54.28,60,0.69,0.8139534694429427,11.16819876677526
1,21,9,4.0,64,52.43,55,0.54,0.6999999766666675,11.19999962666668
1,79,14,3.0,57,56.81,40,0.74,0.849462356457394,16.139784772690486
1,43,11,3.8,62,53.82,45,0.66,0.7962962815500689,12.992202488448493
1,29,12,3.6,61,50.17,40,0.55,0.7073170559190962,11.98509455862913
1,57,8,4.5,57,57.36,60,0.78,0.8769230634319529,11.107692136804737
3,41,10,3.4,64,55.94,50,0.67,0.8039215528642834,15.132640995092393
1,45,14,3.4,61,51.01,40,0.62,0.7627118514794602,13.68394792360208
1,62,8,3.4,60,61.07,60,0.79,0.8857142730612247,15.630251877551025
2,74,10,3.3,68,63.18,50,0.79,0.8809523704648528,18.15295793685151
1,58,12,3.6,63,55.97,40,0.71,0.828571416734694,14.499999792857144
1,46,10,4.8,67,55.12,50,0.7,0.8214285567602044,11.465773604777853
1,48,11,4.5,62,53.46,45,0.69,0.8135593082447575,11.209039358038881
1,66,14,4.5,53,50.65,40,0.7,0.8249999896875001,9.716666545208334
3,57,13,4.6,66,53.58,40,0.69,0.8142857026530614,11.683229646761317
2,39,10,3.5,68,56.48,50,0.66,0.7959183511037071,15.463556535729166
1,46,11,4.8,58,51.47,45,0.68,0.8070175297014469,9.751461817225817
2,60,13,3.3,72,58.11,40,0.7,0.8219177969600302,17.932751933673387
2,73,14,3.7,56,54.18,40,0.72,0.8390804501255121,12.699596001899643
1,39,12,4.2,50,47.9,40,0.62,0.7647058673587085,9.103641278079863
2,63,12,3.2,56,55.69,40,0.72,0.8399999888000002,14.699999804000003
1,38,14,4.5,56,46.39,40,0.58,0.7307692167159766,9.094016919132153
2,39,14,3.8,69,51.38,40,0.58,0.7358490427198294,13.361469459912692
2,54,8,4.6,56,56.36,60,0.77,0.8709677278876173,10.60308538297969
1,66,11,4.0,57,56.27,45,0.75,0.8571428460111319,12.214285555658629
1,21,11,3.4,65,51.38,45,0.5,0.6562499794921882,12.545955490291833
1,49,14,4.5,52,47.3,40,0.64,0.777777765432099,8.987654178326476
1,72,9,3.5,62,62.04,55,0.8,0.8888888779149522,15.746031551636296
2,53,9,4.0,59,56.87,55,0.75,0.8548386958896985,12.608870764373053
2,41,13,3.2,67,53.49,40,0.61,0.7592592451989029,15.896990446352028
1,22,13,4.2,56,45.24,40,0.5,0.6285714106122454,8.380952141496605
1,25,9,4.3,70,54.24,55,0.58,0.7352940960207619,11.969903888710077
1,34,14,3.8,70,50.74,40,0.55,0.7083333185763893,13.048245342196646
1,46,14,4.9,54,46.57,40,0.62,0.7666666538888891,8.44897945102041
1,29,13,4.7,72,49.96,40,0.53,0.6904761740362816,10.577507346938782
1,28,10,4.4,74,54.49,50,0.58,0.7368420858725767,12.392344171493335
