task_description,task_category,task_required_skill,employer_id,employer_skill,match,required_skills_list,employer_skills_list
"this task involves improving a mobile development app skills needed swift,jv,react native",mobile development,"swift,jv,react native",2e4fce86-3c0d-f364-9cd1-6878e9c2d7ed,"firewalls,blender,jvscript,penetration testing",0,"['swift', 'jv', 'react native']","['firewalls', 'blender', 'jvscript', 'penetration testing']"
"this task involves improving a data science app skills needed python,numpy,pandas,scikitlearn",data science,"python,numpy,pandas,scikitlearn",2577f6ff-1a76-af66-535a-535bf72cd842,"javascript,pntrtion tsting,unreal engine",0,"['python', 'numpy', 'pandas', 'scikitlearn']","['javascript', 'pntrtion tsting', 'unreal engine']"
"this tsk involves designing devops pp skills needed cicd,kubernetes,docker",devops,"cicd,kubernetes,docker",010ba2a1-87f9-5f54-d035-da413c92c28b,"encryption,numpy,java,javascript",0,"['cicd', 'kubernetes', 'docker']","['encryption', 'numpy', 'java', 'javascript']"
"this tsk involves developing web development pp skills needed nodejs,css",web development,"nodejs,css",4ec14042-ba85-b4d4-f04e-294c269bceb7,"penetration testing,docker,nodejs,css,kotlin",1,"['nodejs', 'css']","['penetration testing', 'docker', 'nodejs', 'css', 'kotlin']"
"this tsk involves testing web development pp skills needed rect,html,css",web development,"react,html,css",bd0b43f8-467d-ad7a-0041-5adedd691ea7,"nodjs,kubrnts,cicd,trrform",0,"['react', 'html', 'css']","['nodjs', 'kubrnts', 'cicd', 'trrform']"
"this tsk involves designing mobile development pp skills needed rect ntive,kotlin,swift",mobile development,"react native,kotlin,swift",d21f37d8-46ed-439f-885a-2086be7310b4,"swift,terraform,python",0,"['react native', 'kotlin', 'swift']","['swift', 'terraform', 'python']"
"this task involves improving a cybersecurity app skills needed firewalls,siem,encryption,networking",cybersecurity,"firewalls,siem,encryption,networking",61cc613c-1e3c-4e24-418e-02aac062822b,"firewlls,react native,c",0,"['firewalls', 'siem', 'encryption', 'networking']","['firewlls', 'react native', 'c']"
"this task involves developing a game development app skills needed c,c,unreal engine",game development,"c,c,unral engin",03d8ed0d-a842-0212-16ca-4eadf9a48d09,"ws,c,kotlin,c,swift",1,"['c', 'c', 'unral engin']","['ws', 'c', 'kotlin', 'c', 'swift']"
"this tsk involves testing mobile development pp skills needed jv,flutter",mobile development,"jv,flutter",1f97e4de-de5c-26d8-9cbb-6367a3e424ca,"swift,flutter,unity",0,"['jv', 'flutter']","['swift', 'flutter', 'unity']"
"this task involves improving a web development app skills needed html,css,jvscript,rect",web development,"html,css,jvscript,rect",f14178f7-3812-11fd-e739-9e9af554336b,"flutter,encryption,python,kubernetes,swift",0,"['html', 'css', 'jvscript', 'rect']","['flutter', 'encryption', 'python', 'kubernetes', 'swift']"
"this tsk involves testing cybersecurity pp skills needed encryption,firewlls",cybersecurity,"encryption,firewalls",9aa6a255-7900-5d56-5c00-95efda9afa16,"dockr,encryption,sql,nodejs,react",0,"['encryption', 'firewalls']","['dockr', 'encryption', 'sql', 'nodejs', 'react']"
"this task involves improving a game development app skills needed unreal engine,c,blender",gme development,"unreal engine,c,blndr",79d4bb1f-a2cd-71bc-cca2-a16b7143eb57,"nodejs,terraform,c,unreal engine,c",1,"['unreal engine', 'c', 'blndr']","['nodejs', 'terraform', 'c', 'unreal engine', 'c']"
"this tsk involves designing devops pp skills needed ws,kubernetes,terrform",devops,"aws,kubrnts,terraform",20529aff-dac9-83f8-788b-8ad91c41edc0,"python,swift,aws,sql",0,"['aws', 'kubrnts', 'terraform']","['python', 'swift', 'aws', 'sql']"
"this task involves developing a game development app skills needed unrel engine,unity,c",game development,"unrel engine,unity,c",8043bd59-ad26-b477-5e9d-f485273b3ee1,"docker,java,css,rect ntive,ract",0,"['unrel engine', 'unity', 'c']","['docker', 'java', 'css', 'rect ntive', 'ract']"
"this task involves designing a game development app skills needed c,c",game development,"c,c",811f1713-6807-3acb-a64e-61cddda27626,"c,c,scikitlearn,encryption",1,"['c', 'c']","['c', 'c', 'scikitlearn', 'encryption']"
"this tsk involves testing mobile development pp skills needed rect ntive,jv",mobile development,"ract nativ,jv",8182f5e4-696c-c476-ad25-8f59621d8b69,"java,encryption,sql,flutter",0,"['ract nativ', 'jv']","['java', 'encryption', 'sql', 'flutter']"
